Legend:
v65201536,"Table 379-0031: Gross domestic product (GDP) at basic prices, by NAICS; Canada; Seasonally adjusted at annual rates; 2007 constant prices; Manufacturing (x 1,000,000)"
v65201809,"Table 379-0031: Gross domestic product (GDP) at basic prices, by NAICS; Canada; Trading-day adjusted; 2007 constant prices; Manufacturing (x 1,000,000)"
Monthly,v65201536,v65201809
Jan-1997,151925,11663
Feb-1997,153685,13041
Mar-1997,152203,12949
Apr-1997,154628,13422
May-1997,156068,13409
Jun-1997,154944,13606
Jul-1997,158901,11982
Aug-1997,158197,12973
Sep-1997,158482,13901
Oct-1997,160335,13926
Nov-1997,159582,13831
Dec-1997,161137,11972
Jan-1998,160490,12307
Feb-1998,163127,13792
Mar-1998,164470,14164
Apr-1998,164734,14099
May-1998,163840,14092
Jun-1998,162681,14293
Jul-1998,159719,12060
Aug-1998,163648,13493
Sep-1998,166055,14523
Oct-1998,167444,14501
Nov-1998,167517,14533
Dec-1998,170381,12651
Jan-1999,172285,13353
Feb-1999,172494,14604
Mar-1999,171993,14874
Apr-1999,173745,14836
May-1999,172950,14879
Jun-1999,176113,15476
Jul-1999,176668,13199
Aug-1999,179474,14879
Sep-1999,181465,15776
Oct-1999,180731,15623
Nov-1999,185162,16144
Dec-1999,189368,14060
Jan-2000,190006,14697
Feb-2000,189669,15902
Mar-2000,194887,16791
Apr-2000,193573,16423
May-2000,197017,16974
Jun-2000,198435,17456
Jul-2000,199549,15009
Aug-2000,202075,16850
Sep-2000,202089,17560
Oct-2000,202856,17527
Nov-2000,202372,17687
Dec-2000,200975,14916
Jan-2001,196513,15133
Feb-2001,194451,16300
Mar-2001,192405,16537
Apr-2001,191600,16204
May-2001,192140,16565
Jun-2001,190579,16817
Jul-2001,188126,14198
Aug-2001,187715,15731
Sep-2001,184351,16059
Oct-2001,184941,15969
Nov-2001,184943,16118
Dec-2001,180644,13402
Jan-2002,189160,14406
Feb-2002,191540,16092
Mar-2002,189325,15996
Apr-2002,191722,16418
May-2002,193457,16571
Jun-2002,191316,16793
Jul-2002,192719,14474
Aug-2002,193100,16185
Sep-2002,189248,16633
Oct-2002,190482,16595
Nov-2002,189464,16578
Dec-2002,186604,13938
Jan-2003,187873,14346
Feb-2003,187933,15791
Mar-2003,188237,16066
Apr-2003,187642,15972
May-2003,188301,16151
Jun-2003,186384,16387
Jul-2003,188691,14182
Aug-2003,185019,15410
Sep-2003,190109,16699
Oct-2003,192711,16767
Nov-2003,192802,16876
Dec-2003,192549,14372
Jan-2004,189535,14478
Feb-2004,189678,15904
Mar-2004,193661,16588
Apr-2004,191932,16299
May-2004,190214,16320
Jun-2004,193735,17055
Jul-2004,192558,14465
Aug-2004,193240,16338
Sep-2004,195407,17092
Oct-2004,193875,16791
Nov-2004,193292,16810
Dec-2004,194289,14477
Jan-2005,197599,15147
Feb-2005,196094,16472
Mar-2005,193939,16306
Apr-2005,195114,16769
May-2005,195397,16714
Jun-2005,194409,17088
Jul-2005,194223,14659
Aug-2005,196351,16629
Sep-2005,195860,17097
Oct-2005,196207,17029
Nov-2005,196862,17136
Dec-2005,197952,14788
Jan-2006,199892,15325
Feb-2006,198436,16666
Mar-2006,197751,16832
Apr-2006,196137,16620
May-2006,193504,16562
Jun-2006,193172,17040
Jul-2006,192538,14624
Aug-2006,191393,16209
Sep-2006,187875,16410
Oct-2006,186351,16176
Nov-2006,187463,16269
Dec-2006,190661,14197
Jan-2007,188411,14401
Feb-2007,189647,15755
Mar-2007,189748,16071
Apr-2007,190450,16034
May-2007,188994,16166
Jun-2007,189568,16712
Jul-2007,187851,14595
Aug-2007,187349,15733
Sep-2007,186898,16263
Oct-2007,186796,16190
Nov-2007,186405,16206
Dec-2007,181375,13665
Jan-2008,179846,13791
Feb-2008,181287,14993
Mar-2008,177355,14801
Apr-2008,179813,15276
May-2008,180848,15408
Jun-2008,180678,15888
Jul-2008,181075,14165
Aug-2008,178329,15012
Sep-2008,177581,15432
Oct-2008,175030,15183
Nov-2008,172603,15000
Dec-2008,164007,12422
Jan-2009,157945,12136
Feb-2009,155897,12818
Mar-2009,154048,13008
Apr-2009,151902,12705
May-2009,149457,12750
Jun-2009,147837,13021
Jul-2009,149660,11930
Aug-2009,151096,12608
Sep-2009,152678,13298
Oct-2009,152164,13223
Nov-2009,154401,13437
Dec-2009,153683,11630
Jan-2010,155108,11933
Feb-2010,157143,12912
Mar-2010,159420,13472
Apr-2010,158708,13284
May-2010,159975,13661
Jun-2010,161939,14249
Jul-2010,161374,12722
Aug-2010,161249,13557
Sep-2010,160241,13916
Oct-2010,160164,13904
Nov-2010,158639,13784
Dec-2010,161192,12202
Jan-2011,163203,12567
Feb-2011,161899,13348
Mar-2011,163159,13834
Apr-2011,163262,13667
May-2011,162915,13906
Jun-2011,162955,14318
Jul-2011,165455,13130
Aug-2011,165566,13861
Sep-2011,166855,14495
Oct-2011,167329,14526
Nov-2011,168108,14604
Dec-2011,171142,12898
Jan-2012,170624,13167
Feb-2012,167440,13772
Mar-2012,168341,14318
Apr-2012,169924,14219
May-2012,169603,14471
Jun-2012,169763,14871
Jul-2012,169289,13370
Aug-2012,168399,14118
Sep-2012,166254,14443
Oct-2012,164400,14270
Nov-2012,165859,14415
Dec-2012,163620,12359
Jan-2013,165538,12764
Feb-2013,166774,13725
Mar-2013,167470,13989
Apr-2013,166060,14131
May-2013,165584,14110
Jun-2013,164693,14433
Jul-2013,164528,13066
Aug-2013,165420,13827
Sep-2013,168233,14630
Oct-2013,170213,14746
Nov-2013,169208,14696
Dec-2013,166223,12545
Jan-2014,166983,12887
Feb-2014,170136,14029
Mar-2014,169143,14378
Apr-2014,170544,14282
May-2014,172967,14716
Jun-2014,173345,15176
Jul-2014,174678,13913
Aug-2014,172303,14352
Sep-2014,174055,15154
Oct-2014,174269,15103
Nov-2014,172644,15002
Dec-2014,175777,13245
Jan-2015,173789,13422
Feb-2015,171679,14160
Mar-2015,172661,14688
Apr-2015,172386,14436
May-2015,171557,14592
Jun-2015,170933,14984
Jul-2015,172346,13717
Aug-2015,174802,14580
Sep-2015,173169,15063
Oct-2015,172716,14942
Nov-2015,174297,15148
Dec-2015,174657,13184
Jan-2016,176476,13650
Feb-2016,174420,14362
Mar-2016,173799,14525
Apr-2016,173769,14805
May-2016,171429,14610
Jun-2016,173318,15197
Jul-2016,173480,13797
Aug-2016,174411,14592
Sep-2016,174677,15190
Oct-2016,172998,14942
Nov-2016,174732,15173
Dec-2016,176399,13316
Jan-2017,177706,13741
Feb-2017,176672,14520
Mar-2017,178285,15146
Apr-2017,178438,14956
May-2017,179501,15302
Jun-2017,181570,15982
Jul-2017,181323,14446
Aug-2017,179481,15100
Sep-2017,178978,15548
Oct-2017,179295,15444
